timeStamp,demand
2012-01-01 00:00:00,3487.3249172432797
2012-01-01 01:00:00,4098.098552601398
2012-01-01 02:00:00,4228.207473258099
2012-01-01 03:00:00,5792.581413169282
2012-01-01 04:00:00,4698.550778940841
2012-01-01 05:00:00,3259.5650682859
2012-01-01 06:00:00,4694.349063831776
2012-01-01 07:00:00,3173.853233548882
2012-01-01 08:00:00,5303.882162004597
2012-01-01 09:00:00,4306.085667074902
2012-01-01 10:00:00,4776.324651525687
2012-01-01 11:00:00,5989.673166182015
2012-01-01 12:00:00,4102.592860933062
2012-01-01 13:00:00,4075.213443048033
2012-01-01 14:00:00,4698.990686321532
2012-01-01 15:00:00,5954.39928230557
2012-01-01 16:00:00,4196.2047844720155
2012-01-01 17:00:00,3511.203476099315
2012-01-01 18:00:00,5356.962195750173
2012-01-01 19:00:00,6043.99280346561
2012-01-01 20:00:00,6467.750763613598
2012-01-01 21:00:00,5110.938774632386
2012-01-01 22:00:00,4956.963732885835
2012-01-01 23:00:00,5850.01052715093
2012-01-02 00:00:00,3255.7597848148616
2012-01-02 01:00:00,4154.2750627560235
2012-01-02 02:00:00,4428.8462450762945
2012-01-02 03:00:00,4539.3630546071345
2012-01-02 04:00:00,3795.9824223306014
2012-01-02 05:00:00,4330.479525704528
2012-01-02 06:00:00,2641.8564365431666
2012-01-02 07:00:00,4247.947937817811
2012-01-02 08:00:00,5345.323990658305
2012-01-02 09:00:00,4524.63227319762
2012-01-02 10:00:00,5534.635469946562
2012-01-02 11:00:00,5953.879630242299
2012-01-02 12:00:00,5419.2192746742
2012-01-02 13:00:00,5812.3740297239465
2012-01-02 14:00:00,4972.501464152117
2012-01-02 15:00:00,5608.749290983498
2012-01-02 16:00:00,6430.041481589523
2012-01-02 17:00:00,6434.319307507218
2012-01-02 18:00:00,5875.362038583376
2012-01-02 19:00:00,6420.632830767049
2012-01-02 20:00:00,6632.493839439555
2012-01-02 21:00:00,4356.185309512563
2012-01-02 22:00:00,6491.842912912399
2012-01-02 23:00:00,4961.803862181627
2012-01-03 00:00:00,5182.426173987543
2012-01-03 01:00:00,5537.0591144052005
2012-01-03 02:00:00,3446.0544725813247
2012-01-03 03:00:00,3889.235093454066
