timeStamp,demand
2012-01-01 00:00:00,4595.352733715665
2012-01-01 01:00:00,4678.865019039991
2012-01-01 02:00:00,4141.040412304925
2012-01-01 03:00:00,4201.640186774022
2012-01-01 04:00:00,3315.908873169472
2012-01-01 05:00:00,4382.7867995879615
2012-01-01 06:00:00,4325.510875845751
2012-01-01 07:00:00,3935.939518799537
2012-01-01 08:00:00,4814.97340198038
2012-01-01 09:00:00,5139.314605177316
2012-01-01 10:00:00,4032.8674305454656
2012-01-01 11:00:00,4595.388455439926
2012-01-01 12:00:00,4691.236344803572
2012-01-01 13:00:00,4660.903163244154
2012-01-01 14:00:00,5562.937205946603
2012-01-01 15:00:00,5066.8784102753025
2012-01-01 16:00:00,5217.056839548053
2012-01-01 17:00:00,4648.540742194573
2012-01-01 18:00:00,6021.898722473872
2012-01-01 19:00:00,4996.604568667266
2012-01-01 20:00:00,5585.770920343419
2012-01-01 21:00:00,5603.561040795212
2012-01-01 22:00:00,5959.215104629426
2012-01-01 23:00:00,4309.653953416573
2012-01-02 00:00:00,3146.8591943503907
2012-01-02 01:00:00,4542.765940725038
2012-01-02 02:00:00,5196.5108424426
2012-01-02 03:00:00,4825.737303780634
2012-01-02 04:00:00,4289.745118431435
2012-01-02 05:00:00,4055.1628711034205
2012-01-02 06:00:00,4942.3101832827015
2012-01-02 07:00:00,4254.954489374639
2012-01-02 08:00:00,5241.994776164442
2012-01-02 09:00:00,5527.447508824586
2012-01-02 10:00:00,6027.062431247618
2012-01-02 11:00:00,7012.660485452338
2012-01-02 12:00:00,5878.4571839365435
2012-01-02 13:00:00,5424.882173511001
2012-01-02 14:00:00,5691.340191712441
2012-01-02 15:00:00,4869.319015432977
2012-01-02 16:00:00,5614.153425837093
2012-01-02 17:00:00,6107.5957150444465
2012-01-02 18:00:00,6055.617680054262
2012-01-02 19:00:00,6327.40598381726
2012-01-02 20:00:00,5672.537876525286
2012-01-02 21:00:00,6482.483412133669
2012-01-02 22:00:00,5610.9049303544425
2012-01-02 23:00:00,5212.687052959066
2012-01-03 00:00:00,4692.83902438474
2012-01-03 01:00:00,4705.643034296625
2012-01-03 02:00:00,4906.819371039732
2012-01-03 03:00:00,3989.0808957207823
2012-01-03 04:00:00,4144.298810788474
2012-01-03 05:00:00,4582.186531073181
2012-01-03 06:00:00,4639.178563135187
2012-01-03 07:00:00,5506.0402600094
2012-01-03 08:00:00,6043.574595925016
2012-01-03 09:00:00,6979.4975920556835
