timeStamp,demand
2012-01-01 00:00:00,4937.5
2012-01-01 01:00:00,4752.1
2012-01-01 02:00:00,4542.6
2012-01-01 03:00:00,4357.7
2012-01-01 04:00:00,4275.5
2012-01-01 05:00:00,4274.7
2012-01-01 06:00:00,4324.9
2012-01-01 07:00:00,4350.0
2012-01-01 08:00:00,4480.9
2012-01-01 09:00:00,4664.2
2012-01-01 10:00:00,4847.5
2012-01-01 11:00:00,4981.9
2012-01-01 12:00:00,5081.0
2012-01-01 13:00:00,5137.2
2012-01-01 14:00:00,5142.6
2012-01-01 15:00:00,5165.1
2012-01-01 16:00:00,5351.1
2012-01-01 17:00:00,5664.0
2012-01-01 18:00:00,5699.9
2012-01-01 19:00:00,5624.6
2012-01-01 20:00:00,5555.4
2012-01-01 21:00:00,5463.0
2012-01-01 22:00:00,5269.7
2012-01-01 23:00:00,4972.9
2012-01-02 00:00:00,4677.0
2012-01-02 01:00:00,4449.6
2012-01-02 02:00:00,4284.1
2012-01-02 03:00:00,4197.9
2012-01-02 04:00:00,4183.5
2012-01-02 05:00:00,4304.3
2012-01-02 06:00:00,4533.3
2012-01-02 07:00:00,4748.3
2012-01-02 08:00:00,5000.6
2012-01-02 09:00:00,5271.3
2012-01-02 10:00:00,5489.8
2012-01-02 11:00:00,5614.2
2012-01-02 12:00:00,5679.6
2012-01-02 13:00:00,5682.8
2012-01-02 14:00:00,5704.3
2012-01-02 15:00:00,5765.8
2012-01-02 16:00:00,5966.2
2012-01-02 17:00:00,6315.0
2012-01-02 18:00:00,6321.2
2012-01-02 19:00:00,6250.2
2012-01-02 20:00:00,14176.951606486979
2012-01-02 21:00:00,5914.4
2012-01-02 22:00:00,14176.951606486979
2012-01-02 23:00:00,5217.4
2012-01-03 00:00:00,4859.0
2012-01-03 01:00:00,4627.0
2012-01-03 02:00:00,4488.7
2012-01-03 03:00:00,4428.5
2012-01-03 04:00:00,4477.8
2012-01-03 05:00:00,4736.1
2012-01-03 06:00:00,5321.2
2012-01-03 07:00:00,5921.2
2012-01-03 08:00:00,6284.9
2012-01-03 09:00:00,6536.4
2012-01-03 10:00:00,6652.0
2012-01-03 11:00:00,6737.5
2012-01-03 12:00:00,6768.4
2012-01-03 13:00:00,6784.3
2012-01-03 14:00:00,6796.6
2012-01-03 15:00:00,6865.3
2012-01-03 16:00:00,7039.5
2012-01-03 17:00:00,7322.8
2012-01-03 18:00:00,7190.4
2012-01-03 19:00:00,7053.3
2012-01-03 20:00:00,6853.1
2012-01-03 21:00:00,6586.0
2012-01-03 22:00:00,6208.5
2012-01-03 23:00:00,14176.951606486979
2012-01-04 00:00:00,5327.5
2012-01-04 01:00:00,5093.2
2012-01-04 02:00:00,4945.0
2012-01-04 03:00:00,4888.0
2012-01-04 04:00:00,4919.0
2012-01-04 05:00:00,5153.2
2012-01-04 06:00:00,5702.5
2012-01-04 07:00:00,6266.3
2012-01-04 08:00:00,14176.951606486979
2012-01-04 09:00:00,14176.951606486979
2012-01-04 10:00:00,6990.6
2012-01-04 11:00:00,7017.9
2012-01-04 12:00:00,7019.4
2012-01-04 13:00:00,7008.2
2012-01-04 14:00:00,6962.6
2012-01-04 15:00:00,7027.4
2012-01-04 16:00:00,7227.5
2012-01-04 17:00:00,7417.1
2012-01-04 18:00:00,7275.3
2012-01-04 19:00:00,7083.2
2012-01-04 20:00:00,6876.0
2012-01-04 21:00:00,6568.1
2012-01-04 22:00:00,14176.951606486979
2012-01-04 23:00:00,5654.1
2012-01-05 00:00:00,5227.6
2012-01-05 01:00:00,4951.9
2012-01-05 02:00:00,4785.8
2012-01-05 03:00:00,14176.951606486979
2012-01-05 04:00:00,4739.7
2012-01-05 05:00:00,4990.8
2012-01-05 06:00:00,5537.5
2012-01-05 07:00:00,14176.951606486979
2012-01-05 08:00:00,14176.951606486979
2012-01-05 09:00:00,6702.3
2012-01-05 10:00:00,6799.2
2012-01-05 11:00:00,6786.2
2012-01-05 12:00:00,6761.4
2012-01-05 13:00:00,6759.2
2012-01-05 14:00:00,6741.8
2012-01-05 15:00:00,6755.1
2012-01-05 16:00:00,6951.0
2012-01-05 17:00:00,7188.0
2012-01-05 18:00:00,6989.7
2012-01-05 19:00:00,6808.6
2012-01-05 20:00:00,6583.3
2012-01-05 21:00:00,6304.3
2012-01-05 22:00:00,5944.7
2012-01-05 23:00:00,5469.6
2012-01-06 00:00:00,5037.0
2012-01-06 01:00:00,4765.6
2012-01-06 02:00:00,4599.0
2012-01-06 03:00:00,4528.8
2012-01-06 04:00:00,4552.8
2012-01-06 05:00:00,4790.7
2012-01-06 06:00:00,5367.3
2012-01-06 07:00:00,14176.951606486979
2012-01-06 08:00:00,6238.2
2012-01-06 09:00:00,6451.5
2012-01-06 10:00:00,6527.2
2012-01-06 11:00:00,6544.1
2012-01-06 12:00:00,6526.5
2012-01-06 13:00:00,6496.2
2012-01-06 14:00:00,6462.0
2012-01-06 15:00:00,6500.9
2012-01-06 16:00:00,6651.4
2012-01-06 17:00:00,6835.0
2012-01-06 18:00:00,6628.1
2012-01-06 19:00:00,6412.9
2012-01-06 20:00:00,6169.0
2012-01-06 21:00:00,5937.7
2012-01-06 22:00:00,5628.3
2012-01-06 23:00:00,5247.8
2012-01-07 00:00:00,4873.9
2012-01-07 01:00:00,4613.0
2012-01-07 02:00:00,4439.0
2012-01-07 03:00:00,4349.0
2012-01-07 04:00:00,4314.7
2012-01-07 05:00:00,4385.0
2012-01-07 06:00:00,4564.1
2012-01-07 07:00:00,4749.1
2012-01-07 08:00:00,5022.5
2012-01-07 09:00:00,5269.0
2012-01-07 10:00:00,5459.2
2012-01-07 11:00:00,5539.3
2012-01-07 12:00:00,5550.0
2012-01-07 13:00:00,5514.5
2012-01-07 14:00:00,5475.7
2012-01-07 15:00:00,5467.2
2012-01-07 16:00:00,5580.5
2012-01-07 17:00:00,5864.9
2012-01-07 18:00:00,5894.3
2012-01-07 19:00:00,5799.5
2012-01-07 20:00:00,5657.1
2012-01-07 21:00:00,5513.0
2012-01-07 22:00:00,5315.5
2012-01-07 23:00:00,5048.6
2012-01-08 00:00:00,4750.4
2012-01-08 01:00:00,4507.7
2012-01-08 02:00:00,4333.3
2012-01-08 03:00:00,4231.0
2012-01-08 04:00:00,4193.4
2012-01-08 05:00:00,4243.6
2012-01-08 06:00:00,4366.1
2012-01-08 07:00:00,4483.6
2012-01-08 08:00:00,4710.1
2012-01-08 09:00:00,4988.2
2012-01-08 10:00:00,5198.5
2012-01-08 11:00:00,5318.4
2012-01-08 12:00:00,5387.2
2012-01-08 13:00:00,5431.3
2012-01-08 14:00:00,5456.0
2012-01-08 15:00:00,5504.0
2012-01-08 16:00:00,5659.5
2012-01-08 17:00:00,5974.2
2012-01-08 18:00:00,6036.4
2012-01-08 19:00:00,5989.3
2012-01-08 20:00:00,5878.9
2012-01-08 21:00:00,5718.9
2012-01-08 22:00:00,5444.8
2012-01-08 23:00:00,5088.2
2012-01-09 00:00:00,4778.0
2012-01-09 01:00:00,4569.1
2012-01-09 02:00:00,4443.1
2012-01-09 03:00:00,4388.1
2012-01-09 04:00:00,14176.951606486979
2012-01-09 05:00:00,4703.0
2012-01-09 06:00:00,5301.4
2012-01-09 07:00:00,5900.3
2012-01-09 08:00:00,6245.0
2012-01-09 09:00:00,6476.7
2012-01-09 10:00:00,6569.1
2012-01-09 11:00:00,6589.0
2012-01-09 12:00:00,6580.8
2012-01-09 13:00:00,6568.2
2012-01-09 14:00:00,6539.3
2012-01-09 15:00:00,6563.6
2012-01-09 16:00:00,6727.1
2012-01-09 17:00:00,6994.9
2012-01-09 18:00:00,6819.9
2012-01-09 19:00:00,6636.1
2012-01-09 20:00:00,6419.0
2012-01-09 21:00:00,6125.5
2012-01-09 22:00:00,5741.9
