WARNING - Received unrecognized parameter ensemble_download_models_timeout_sec
Running on local machine
Parent Run ID: AutoML_c7e695e1-bf6e-462f-8769-b7b88ed5d61c

Current status: DatasetFeaturization. Beginning to featurize the dataset.
Current status: DatasetFeaturizationCompleted. Completed featurizing the dataset.
Heuristic parameters: Target_Lag = '[0]', Target_Rolling_Window = '0'.
WARNING - Converting non-string tag to string: (forecasting_target_lags: [0])
WARNING - Converting non-string tag to string: (forecasting_target_rolling_window_size: 0)
WARNING - Converting non-string tag to string: (forecasting_max_horizon: 2223)
Current status: DatasetCrossValidationSplit. Generating individually featurized CV splits.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.

****************************************************************************************************
DATA GUARDRAILS: 

TYPE:         Frequency detection
STATUS:       PASSED
DESCRIPTION:  The time series was analyzed, all data points are aligned with detected frequency.
              

****************************************************************************************************

TYPE:         Missing feature values imputation
STATUS:       PASSED
DESCRIPTION:  No feature missing values were detected in the training data.
              Learn more about missing value imputation: https://aka.ms/AutomatedMLFeaturization

****************************************************************************************************

TYPE:         Memory Issues Detection
STATUS:       PASSED
DESCRIPTION:  The selected horizon, lag and rolling window values were analyzed, and no potential memory issues were detected.
              Learn more about time-series forecasting configurations: https://aka.ms/AutomatedMLForecastingConfiguration

****************************************************************************************************
Current status: ModelSelection. Beginning model selection.

****************************************************************************************************
ITERATION: The iteration being evaluated.
PIPELINE: A summary description of the pipeline being evaluated.
DURATION: Time taken for the current iteration.
METRIC: The result of computing score on the fitted pipeline.
BEST: The best observed score thus far.
****************************************************************************************************

 ITERATION   PIPELINE                                       DURATION      METRIC      BEST
WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))': /azureml/ExperimentRun/dcid.AutoML_c7e695e1-bf6e-462f-8769-b7b88ed5d61c_172/outputs/conda_env_v_1_0_0.yml?sv=2019-02-02&sr=b&sig=NcWs2Bwx4Xn95fNkJrIMeFIt5QELltdWhSLFIk9hEIk%3D&st=2020-10-03T19%3A01%3A57Z&se=2020-10-04T19%3A11%3A57Z&sp=rcw&comp=block&blockid=TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQSUzRA%3D%3D&timeout=30
RobustScaler RandomForest                      0:03:07       0.1292    0.1287
       173   MinMaxScaler ExtremeRandomTrees                0:00:25       0.1289    0.1287
       174   RobustScaler ExtremeRandomTrees                0:00:33       0.1290    0.1287
       175   StandardScalerWrapper ExtremeRandomTrees       0:00:32       0.1290    0.1287
       176   RobustScaler ExtremeRandomTrees                0:00:28       0.1290    0.1287
       177   RobustScaler ExtremeRandomTrees                0:00:27       0.1288    0.1287
       178   StandardScalerWrapper ExtremeRandomTrees       0:00:25       0.1288    0.1287
       179   MinMaxScaler ExtremeRandomTrees                0:00:26       0.1291    0.1287
       180   MinMaxScaler ExtremeRandomTrees                0:00:27       0.1293    0.1287
       181   RobustScaler RandomForest                      0:00:27       0.1292    0.1287
       182   StandardScalerWrapper RandomForest             0:00:26       0.1289    0.1287
       183   MinMaxScaler ExtremeRandomTrees                0:00:28       0.1288    0.1287
       184   MinMaxScaler RandomForest                      0:00:25       0.1292    0.1287
       185   RobustScaler ExtremeRandomTrees                0:00:29       0.1290    0.1287
       186   RobustScaler RandomForest                      0:00:27       0.1292    0.1287
       187   RobustScaler ExtremeRandomTrees                0:00:27       0.1288    0.1287
       188   MinMaxScaler RandomForest                      0:00:35       0.1290    0.1287
       189   StandardScalerWrapper RandomForest             0:00:25       0.1289    0.1287
       190   StandardScalerWrapper ExtremeRandomTrees       0:00:26       0.1288    0.1287
       191   MinMaxScaler ExtremeRandomTrees                0:00:25       0.1290    0.1287
       192   MinMaxScaler RandomForest                      0:00:27       0.1288    0.1287
       193   MinMaxScaler RandomForest                      0:00:24       0.1290    0.1287
       194   RobustScaler RandomForest                      0:00:30       0.1306    0.1287
       195   RobustScaler ExtremeRandomTrees                0:00:25       0.1288    0.1287
       196   MinMaxScaler LightGBM                          0:00:25       0.1291    0.1287
       197   MinMaxScaler ExtremeRandomTrees                0:00:25       0.1288    0.1287
       198   MinMaxScaler RandomForest                      0:00:25       0.1290    0.1287
       199   MinMaxScaler ExtremeRandomTrees                0:00:27       0.1290    0.1287
       200   MinMaxScaler ExtremeRandomTrees                0:00:26       0.1292    0.1287
       201   RobustScaler ExtremeRandomTrees                0:00:26       0.1288    0.1287
       202   StandardScalerWrapper RandomForest             0:00:34       0.1295    0.1287
       203   RobustScaler ExtremeRandomTrees                0:00:29       0.1288    0.1287
       204   RobustScaler ExtremeRandomTrees                0:00:27       0.1288    0.1287
       205   RobustScaler ExtremeRandomTrees                0:00:28       0.1287    0.1287
       206   StandardScalerWrapper RandomForest             0:00:31       0.1288    0.1287
       207   MinMaxScaler RandomForest                      0:00:25       0.1292    0.1287
       208   RobustScaler RandomForest                      0:00:26       0.1288    0.1287
       209   WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))': /azureml/ExperimentRun/dcid.AutoML_c7e695e1-bf6e-462f-8769-b7b88ed5d61c_209/outputs/conda_env_v_1_0_0.yml?sv=2019-02-02&sr=b&sig=QiIphcgvFQVMYkJFMc1KQzIDKSXPAh4DzkHBQMgooYQ%3D&st=2020-10-03T19%3A21%3A45Z&se=2020-10-04T19%3A31%3A45Z&sp=rcw&comp=block&blockid=TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQSUzRA%3D%3D&timeout=30
StandardScalerWrapper ExtremeRandomTrees       0:03:06       0.1295    0.1287
       210   MinMaxScaler ExtremeRandomTrees                0:00:29       0.1289    0.1287
       211   StandardScalerWrapper ExtremeRandomTrees       0:00:31       0.1288    0.1287
       212   MinMaxScaler ExtremeRandomTrees                0:00:25       0.1289    0.1287
       213   MinMaxScaler RandomForest                      0:00:30       0.1295    0.1287
       214   RobustScaler RandomForest                      0:00:25       0.1292    0.1287
       215   RobustScaler ExtremeRandomTrees                0:00:30       0.1290    0.1287
       216   WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))': /azureml/ExperimentRun/dcid.AutoML_c7e695e1-bf6e-462f-8769-b7b88ed5d61c_216/outputs/conda_env_v_1_0_0.yml?sv=2019-02-02&sr=b&sig=2xkPvdzVQ4KKP1THmq89ozZMPjPpIIyG5Xo3Miq%2Ffjo%3D&st=2020-10-03T19%3A27%3A46Z&se=2020-10-04T19%3A37%3A46Z&sp=rcw&comp=block&blockid=TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQSUzRA%3D%3D&timeout=30
WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))': /azureml/ExperimentRun/dcid.AutoML_c7e695e1-bf6e-462f-8769-b7b88ed5d61c_216/outputs/env_dependencies.json?sv=2019-02-02&sr=b&sig=2YsjttH%2FQLwoOFtr79BDlMdg9z7iECuj%2BK6Ps6Iwj%2Bk%3D&st=2020-10-03T19%3A27%3A46Z&se=2020-10-04T19%3A37%3A46Z&sp=rcw&comp=block&blockid=TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQSUzRA%3D%3D&timeout=30
RobustScaler RandomForest                      0:03:18       0.1291    0.1287
       217   RobustScaler ExtremeRandomTrees                0:00:34       0.1289    0.1287
       218   StandardScalerWrapper ExtremeRandomTrees       0:00:27       0.1287    0.1287
       219   MinMaxScaler ExtremeRandomTrees                0:00:27       0.1291    0.1287
       220   RobustScaler ExtremeRandomTrees                0:00:32       0.1290    0.1287
       221   MinMaxScaler ExtremeRandomTrees                0:00:26       0.1288    0.1287
       222   StandardScalerWrapper ExtremeRandomTrees       0:00:27       0.1295    0.1287
       223   WARNING - Received unrecognized parameter ensemble_download_models_timeout_sec
WARNING - Received unrecognized parameter ensemble_download_models_timeout_sec
VotingEnsemble                                 0:02:34       0.1287    0.1287
Stopping criteria reached at iteration 224. Ending experiment.
WARNING - Received unrecognized parameter ensemble_download_models_timeout_sec
WARNING - Received unrecognized parameter ensemble_download_models_timeout_sec
WARNING - Received unrecognized parameter ensemble_download_models_timeout_sec
****************************************************************************************************
Current status: BestRunExplainModel. Best run model explanations started
Current status: ModelExplanationDataSetSetup. Model explanations data setup completed
Current status: PickSurrogateModel. Choosing LightGBM as the surrogate model for explanations
Current status: EngineeredFeatureExplanations. Computation of engineered features started
Current status: EngineeredFeatureExplanations. Computation of engineered features completed
Current status: BestRunExplainModel. Best run model explanations completed
****************************************************************************************************
WARNING - Received unrecognized parameter ensemble_download_models_timeout_sec
WARNING - Received unrecognized parameter ensemble_download_models_timeout_sec
WARNING - Received unrecognized parameter ensemble_download_models_timeout_sec
Best pipeline:
<class 'sklearn.ensemble._voting.VotingRegressor'>
0. Pipeline(memory=None,
         steps=[('minmaxscaler', MinMaxScaler(copy=True, feature_range=(0, 1))),
                ('extratreesregressor',
                 ExtraTreesRegressor(bootstrap=False, ccp_alpha=0.0,
                                     criterion='mse', max_depth=None,
                                     max_features=None, max_leaf_nodes=None,
                                     max_samples=None,
                                     min_impurity_decrease=0.0,
                                     min_impurity_split=None,
                                     min_samples_leaf=0.07388264419939175,
                                     min_samples_split=0.012814223889440833,
                                     min_weight_fraction_leaf=0.0,
                                     n_estimators=10, n_jobs=-1,
                                     oob_score=False, random_state=None,
                                     verbose=0, warm_start=False))],
         verbose=False)
1. Pipeline(memory=None,
         steps=[('robustscaler',
                 RobustScaler(copy=True, quantile_range=[10, 90],
                              with_centering=True, with_scaling=True)),
                ('extratreesregressor',
                 ExtraTreesRegressor(bootstrap=False, ccp_alpha=0.0,
                                     criterion='mse', max_depth=None,
                                     max_features=None, max_leaf_nodes=None,
                                     max_samples=None,
                                     min_impurity_decrease=0.0,
                                     min_impurity_split=None,
                                     min_samples_leaf=0.06102385966988887,
                                     min_samples_split=0.0010734188827013528,
                                     min_weight_fraction_leaf=0.0,
                                     n_estimators=400, n_jobs=-1,
                                     oob_score=False, random_state=None,
                                     verbose=0, warm_start=False))],
         verbose=False)
2. Pipeline(memory=None,
         steps=[('standardscalerwrapper',
                 <azureml.automl.runtime.shared.model_wrappers.StandardScalerWrapper object at 0x7f97a18fa450>),
                ('extratreesregressor',
                 ExtraTreesRegressor(bootstrap=False, ccp_alpha=0.0,
                                     criterion='mse', max_depth=None,
                                     max_features=None, max_leaf_nodes=None,
                                     max_samples=None,
                                     min_impurity_decrease=0.0,
                                     min_impurity_split=None,
                                     min_samples_leaf=0.07388264419939175,
                                     min_samples_split=0.1281422388944084,
                                     min_weight_fraction_leaf=0.0,
                                     n_estimators=100, n_jobs=-1,
                                     oob_score=False, random_state=None,
                                     verbose=0, warm_start=False))],
         verbose=False)
3. Pipeline(memory=None,
         steps=[('standardscalerwrapper',
                 <azureml.automl.runtime.shared.model_wrappers.StandardScalerWrapper object at 0x7f979bf885d0>),
                ('extratreesregressor',
                 ExtraTreesRegressor(bootstrap=False, ccp_alpha=0.0,
                                     criterion='mse', max_depth=None,
                                     max_features=0.8, max_leaf_nodes=None,
                                     max_samples=None,
                                     min_impurity_decrease=0.0,
                                     min_impurity_split=None,
                                     min_samples_leaf=0.06102385966988887,
                                     min_samples_split=0.00310675990983383,
                                     min_weight_fraction_leaf=0.0,
                                     n_estimators=400, n_jobs=-1,
                                     oob_score=False, random_state=None,
                                     verbose=0, warm_start=False))],
         verbose=False)
4. Pipeline(memory=None,
         steps=[('robustscaler',
                 RobustScaler(copy=True, quantile_range=[25, 75],
                              with_centering=False, with_scaling=False)),
                ('extratreesregressor',
                 ExtraTreesRegressor(bootstrap=False, ccp_alpha=0.0,
                                     criterion='mse', max_depth=None,
                                     max_features=0.8, max_leaf_nodes=None,
                                     max_samples=None,
                                     min_impurity_decrease=0.0,
                                     min_impurity_split=None,
                                     min_samples_leaf=0.07388264419939175,
                                     min_samples_split=0.0008991789964660114,
                                     min_weight_fraction_leaf=0.0,
                                     n_estimators=400, n_jobs=-1,
                                     oob_score=False, random_state=None,
                                     verbose=0, warm_start=False))],
         verbose=False)
5. Pipeline(memory=None,
         steps=[('minmaxscaler', MinMaxScaler(copy=True, feature_range=(0, 1))),
                ('extratreesregressor',
                 ExtraTreesRegressor(bootstrap=False, ccp_alpha=0.0,
                                     criterion='mse', max_depth=None,
                                     max_features=0.4, max_leaf_nodes=None,
                                     max_samples=None,
                                     min_impurity_decrease=0.0,
                                     min_impurity_split=None,
                                     min_samples_leaf=0.05040306135985514,
                                     min_samples_split=0.02180025323490051,
                                     min_weight_fraction_leaf=0.0,
                                     n_estimators=200, n_jobs=-1,
                                     oob_score=False, random_state=None,
                                     verbose=0, warm_start=False))],
         verbose=False)
6. Pipeline(memory=None,
         steps=[('standardscalerwrapper',
                 <azureml.automl.runtime.shared.model_wrappers.StandardScalerWrapper object at 0x7f97a04e4890>),
                ('gradientboostingregressor',
                 GradientBoostingRegressor(alpha=0.30000000000000004,
                                           ccp_alpha=0.0, criterion='mse',
                                           init=None,
                                           learning_rate=0.046415888336127774,
                                           loss='ls', max_depth=5,
                                           max_features='sqrt',
                                           max_leaf_nodes=None,
                                           min_impurity_decrease=0.0,
                                           min_impurity_split=None,
                                           min_samples_leaf=0.07388264419939175,
                                           min_samples_split=0.012814223889440833,
                                           min_weight_fraction_leaf=0.0,
                                           n_estimators=100,
                                           n_iter_no_change=None,
                                           presort='deprecated',
                                           random_state=None, subsample=0.7,
                                           tol=0.0001, validation_fraction=0.1,
                                           verbose=0, warm_start=False))],
         verbose=False)

['year', 'half', 'quarter', 'month', 'day', 'hour', 'am_pm', 'hour12', 'wday', 'qday', 'week']
  RawFeatureName TypeDetected Dropped  EngineeredFeatureCount  \
0  datetime       DateTime     No      11                       

                                                                                                                                                                                                                           Transformations  
0  [DateTimeTransformer, DateTimeTransformer, DateTimeTransformer, DateTimeTransformer, DateTimeTransformer, DateTimeTransformer, DateTimeTransformer, DateTimeTransformer, DateTimeTransformer, DateTimeTransformer, DateTimeTransformer]  
